question,answer,operation
"If Sara had 47 oranges and got another 8 oranges, how many oranges does Sara have now?",55,addition
"If Emma had 62 marbles and gave away 27, how many marbles does Emma have left?",35,subtraction
"Mia has 10 boxes of balls, each containing 9 balls. How many balls does Mia have in total?",90,multiplication
"If Ethan had 75 marbles and gave away 30, how many marbles does Ethan have left?",45,subtraction
"If Mia had 16 apples and gave away 12, how many apples does Mia have left?",4,subtraction
Jay has 72 oranges and wants to divide them equally among 8 friends. How many oranges does each friend get?,9,division
Ava has 50 marbles and wants to divide them equally among 10 friends. How many marbles does each friend get?,5,division
"If Mia had 10 coins and got another 47 coins, how many coins does Mia have now?",57,addition
Ethan has 40 coins and wants to divide them equally among 5 friends. How many coins does each friend get?,8,division
"If Ethan had 26 oranges and got another 19 oranges, how many oranges does Ethan have now?",45,addition
"If Ethan had 81 marbles and gave away 60, how many marbles does Ethan have left?",21,subtraction
"Liam has 11 boxes of candies, each containing 11 candies. How many candies does Liam have in total?",121,multiplication
"If Jay had 87 candies and gave away 13, how many candies does Jay have left?",74,subtraction
"If Mia had 73 candies and gave away 62, how many candies does Mia have left?",11,subtraction
"If Mia had 12 coins and gave away 8, how many coins does Mia have left?",4,subtraction
Sara has 36 oranges and wants to divide them equally among 4 friends. How many oranges does each friend get?,9,division
"If Noah had 95 apples and gave away 80, how many apples does Noah have left?",15,subtraction
"Mia has 3 boxes of pencils, each containing 5 pencils. How many pencils does Mia have in total?",15,multiplication
"If Noah had 16 apples and got another 34 apples, how many apples does Noah have now?",50,addition
"Ava has 8 boxes of books, each containing 6 books. How many books does Ava have in total?",48,multiplication
"Jay has 6 boxes of candies, each containing 6 candies. How many candies does Jay have in total?",36,multiplication
"Liam has 6 boxes of candies, each containing 2 candies. How many candies does Liam have in total?",12,multiplication
"If Mia had 77 pencils and gave away 57, how many pencils does Mia have left?",20,subtraction
"If Ethan had 82 apples and gave away 54, how many apples does Ethan have left?",28,subtraction
"Emma has 7 boxes of marbles, each containing 3 marbles. How many marbles does Emma have in total?",21,multiplication
"If Emma had 37 books and got another 15 books, how many books does Emma have now?",52,addition
"If Mia had 20 balls and got another 46 balls, how many balls does Mia have now?",66,addition
Ava has 32 coins and wants to divide them equally among 8 friends. How many coins does each friend get?,4,division
"If Jay had 46 marbles and gave away 4, how many marbles does Jay have left?",42,subtraction
"If Noah had 83 oranges and gave away 51, how many oranges does Noah have left?",32,subtraction
Jay has 50 candies and wants to divide them equally among 10 friends. How many candies does each friend get?,5,division
"If Liam had 45 coins and got another 42 coins, how many coins does Liam have now?",87,addition
"If Liam had 90 marbles and gave away 67, how many marbles does Liam have left?",23,subtraction
"If Jay had 11 marbles and gave away 2, how many marbles does Jay have left?",9,subtraction
Noah has 20 balls and wants to divide them equally among 2 friends. How many balls does each friend get?,10,division
"Ethan has 4 boxes of marbles, each containing 8 marbles. How many marbles does Ethan have in total?",32,multiplication
"Noah has 11 boxes of candies, each containing 4 candies. How many candies does Noah have in total?",44,multiplication
"If Ava had 40 apples and gave away 4, how many apples does Ava have left?",36,subtraction
"If Noah had 21 balls and got another 35 balls, how many balls does Noah have now?",56,addition
"If Sara had 31 candies and got another 8 candies, how many candies does Sara have now?",39,addition
Ava has 70 pencils and wants to divide them equally among 7 friends. How many pencils does each friend get?,10,division
"Jay has 8 boxes of candies, each containing 6 candies. How many candies does Jay have in total?",48,multiplication
"If Ava had 60 balls and gave away 56, how many balls does Ava have left?",4,subtraction
"If Jay had 35 books and got another 45 books, how many books does Jay have now?",80,addition
"If Liam had 22 oranges and gave away 7, how many oranges does Liam have left?",15,subtraction
"If Ava had 49 oranges and got another 44 oranges, how many oranges does Ava have now?",93,addition
"Emma has 4 boxes of balls, each containing 12 balls. How many balls does Emma have in total?",48,multiplication
"If Emma had 43 marbles and gave away 36, how many marbles does Emma have left?",7,subtraction
Sara has 48 balls and wants to divide them equally among 8 friends. How many balls does each friend get?,6,division
"If Mia had 1 apples and got another 9 apples, how many apples does Mia have now?",10,addition
"Emma has 3 boxes of candies, each containing 11 candies. How many candies does Emma have in total?",33,multiplication
"Liam has 3 boxes of pencils, each containing 8 pencils. How many pencils does Liam have in total?",24,multiplication
Noah has 12 books and wants to divide them equally among 3 friends. How many books does each friend get?,4,division
Ava has 21 coins and wants to divide them equally among 7 friends. How many coins does each friend get?,3,division
"If Ethan had 36 pencils and got another 24 pencils, how many pencils does Ethan have now?",60,addition
"If Emma had 23 marbles and gave away 8, how many marbles does Emma have left?",15,subtraction
"If Noah had 38 books and gave away 2, how many books does Noah have left?",36,subtraction
Jay has 56 books and wants to divide them equally among 8 friends. How many books does each friend get?,7,division
"If Ava had 11 oranges and got another 40 oranges, how many oranges does Ava have now?",51,addition
Liam has 30 oranges and wants to divide them equally among 3 friends. How many oranges does each friend get?,10,division
"If Ava had 45 oranges and got another 9 oranges, how many oranges does Ava have now?",54,addition
"If Liam had 41 coins and got another 16 coins, how many coins does Liam have now?",57,addition
"Emma has 12 boxes of pencils, each containing 9 pencils. How many pencils does Emma have in total?",108,multiplication
"Ava has 9 boxes of balls, each containing 7 balls. How many balls does Ava have in total?",63,multiplication
"If Ava had 4 pencils and got another 31 pencils, how many pencils does Ava have now?",35,addition
Jay has 20 balls and wants to divide them equally among 5 friends. How many balls does each friend get?,4,division
"Ava has 5 boxes of books, each containing 4 books. How many books does Ava have in total?",20,multiplication
Noah has 70 marbles and wants to divide them equally among 10 friends. How many marbles does each friend get?,7,division
"If Sara had 60 oranges and gave away 42, how many oranges does Sara have left?",18,subtraction
"If Mia had 45 books and got another 43 books, how many books does Mia have now?",88,addition
"Liam has 10 boxes of oranges, each containing 2 oranges. How many oranges does Liam have in total?",20,multiplication
"If Ethan had 80 oranges and gave away 71, how many oranges does Ethan have left?",9,subtraction
Jay has 35 balls and wants to divide them equally among 7 friends. How many balls does each friend get?,5,division
"If Noah had 32 coins and gave away 16, how many coins does Noah have left?",16,subtraction
Ava has 48 pencils and wants to divide them equally among 8 friends. How many pencils does each friend get?,6,division
"Mia has 12 boxes of marbles, each containing 4 marbles. How many marbles does Mia have in total?",48,multiplication
"If Emma had 33 coins and gave away 16, how many coins does Emma have left?",17,subtraction
"If Mia had 10 pencils and gave away 10, how many pencils does Mia have left?",0,subtraction
"Liam has 8 boxes of candies, each containing 2 candies. How many candies does Liam have in total?",16,multiplication
"If Emma had 22 balls and got another 32 balls, how many balls does Emma have now?",54,addition
"Jay has 7 boxes of balls, each containing 2 balls. How many balls does Jay have in total?",14,multiplication
"Emma has 12 boxes of books, each containing 3 books. How many books does Emma have in total?",36,multiplication
"If Noah had 99 coins and gave away 52, how many coins does Noah have left?",47,subtraction
"If Ethan had 24 apples and got another 18 apples, how many apples does Ethan have now?",42,addition
"Jay has 3 boxes of pencils, each containing 9 pencils. How many pencils does Jay have in total?",27,multiplication
"If Ethan had 22 coins and gave away 3, how many coins does Ethan have left?",19,subtraction
Ava has 20 marbles and wants to divide them equally among 2 friends. How many marbles does each friend get?,10,division
Liam has 40 books and wants to divide them equally among 10 friends. How many books does each friend get?,4,division
Mia has 72 pencils and wants to divide them equally among 8 friends. How many pencils does each friend get?,9,division
"If Sara had 17 balls and gave away 2, how many balls does Sara have left?",15,subtraction
"Noah has 3 boxes of candies, each containing 2 candies. How many candies does Noah have in total?",6,multiplication
Jay has 32 oranges and wants to divide them equally among 4 friends. How many oranges does each friend get?,8,division
Ava has 80 candies and wants to divide them equally among 8 friends. How many candies does each friend get?,10,division
"Mia has 9 boxes of books, each containing 9 books. How many books does Mia have in total?",81,multiplication
Ava has 24 balls and wants to divide them equally among 8 friends. How many balls does each friend get?,3,division
"If Mia had 38 coins and got another 37 coins, how many coins does Mia have now?",75,addition
Jay has 35 coins and wants to divide them equally among 7 friends. How many coins does each friend get?,5,division
"If Mia had 75 oranges and gave away 58, how many oranges does Mia have left?",17,subtraction
"If Ethan had 11 candies and got another 49 candies, how many candies does Ethan have now?",60,addition
"Ava has 11 boxes of marbles, each containing 11 marbles. How many marbles does Ava have in total?",121,multiplication
"If Mia had 100 pencils and gave away 74, how many pencils does Mia have left?",26,subtraction
"If Emma had 31 pencils and got another 11 pencils, how many pencils does Emma have now?",42,addition
"Noah has 9 boxes of marbles, each containing 5 marbles. How many marbles does Noah have in total?",45,multiplication
Ava has 40 oranges and wants to divide them equally among 5 friends. How many oranges does each friend get?,8,division
"If Ava had 44 balls and got another 16 balls, how many balls does Ava have now?",60,addition
"Liam has 6 boxes of candies, each containing 4 candies. How many candies does Liam have in total?",24,multiplication
"If Noah had 24 coins and gave away 5, how many coins does Noah have left?",19,subtraction
"Ethan has 5 boxes of oranges, each containing 7 oranges. How many oranges does Ethan have in total?",35,multiplication
Emma has 36 marbles and wants to divide them equally among 6 friends. How many marbles does each friend get?,6,division
Noah has 60 apples and wants to divide them equally among 6 friends. How many apples does each friend get?,10,division
